sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
UT7859-1-FBM	7.89					
UT7859-6-FBM	31.58					
UT7859-2-FBM	12.75					
UT7859-3-FBM	17.52					
UT7816-1-FBM	21.95					
UT27436-1-FBM	6.2					
UT7904-2-FBM	15.04					
UT7871-1-FBM	8.9					
UT27464-1-FBM	5.32					
UT27438-1-FBM	5.61					
UT27461-1-FBM	5.2					
UT27434-1-FBM	6.22					
UT27443-1-FBM	5.43					
UT27443-1-V1-FBM	5.43					
UT14591-1-FBM	11.51					
UT7891-1-FBM	8.61					
UT7902-2-FBM	15.04					
UT7800-1-FBM	14.24					
UT7892-1-FBM	12.78					
UT27425-1-FBM	5.02					
UT27428-1-FBM	5.37					
UT27449-1-FBM	5.08					
UT27449-1-V1-FBM	5.08					
UT27433-1-FBM	14.64					
UT27433-2-FBM	19.96					
UT7900-1-FBM	15.04					
UT7900-6-FBM	68.88					
UT7900-3-FBM	38.44					
UT7900-2-FBM	28.73					
UT22620-1-FBM	8.6					
UT22620-1-V1-FBM	8.6					
UT7810-1-FBM	6.26					
UT7810-6-FBM	19.03					
UT7810-1-V1-FBM	6.26					
UT7810-1-V2-FBM	6.26					
UT7810-1-V3-FBM	6.26					
UT27429-1-FBM	8.43					
UT7818-8-FBM	30.75					
UT7818-1-FBM	7.92					
UT7818-1-V1-FBM	7.92					
UT7860-1-FBM	11.7					
UT7860-4-FBM	34.79					
UT7860-5-FBM	42.49					
UT7860-8-FBM	61.59					
UT7860-12-FBM	88.39					
UT7860-6-V1-FBM	48.86					
UT7860-2-FBM	22.06					
UT7860-3-FBM	28.42					
UT7860-6-FBM	48.86					
UT14580-1-FBM	11.85					
UT27439-1-FBM	5.2					
UT71041-1-FBM	12.51					
UT71041-2-FBM	23.68					
UT71041-3-FBM	30.86					
UT71041-4-FBM	38.04					
UT71041-5-FBM	46.54					
UT71041-8-FBM	68.08					
UT71041-10-FBM	82.44					
UT27432-1-FBM	8.61					
UT7901-2-FBM	15.04					
UT27452-1-FBM	5.61					
UT7857-1-FBM	7.84					
UT7857-6-FBM	31.26					
UT7857-2-FBM	12.64					
UT7857-3-FBM	17.36					
UT7857-6-V1-FBM	31.26					
UT22726-1-FBM	8.72					
UT22726-3-FBM	21.88					
UT22726-6-FBM	34.45					
UT22726-2-FBM	14.15					
UT22726-4-FBM	26.07					
UT71043-1-FBM	11.91					
UT71043-3-FBM	29.06					
UT71043-2-FBM	22.48					
UT71043-3-V1-FBM	29.06					
UT71043-4-FBM	35.64					
UT71043-5-FBM	43.55					
UT71043-3-V2-FBM	29.06					
UT27135-1-FBM	16.5					
UT27437-1-FBM	12.51					
UT27437-1-V1-FBM	12.51					
UT7821-2-FBM	21.82					
UT71054-1-FBM	12.18					
UT71029-1-FBM	11.97					
UT71029-10-FBM	76.99					
UT71029-2-FBM	22.59					
UT71029-3-FBM	29.22					
UT71029-4-FBM	35.86					
UT71029-5-FBM	43.82					
UT71029-6-FBM	50.45					
UT71029-9-FBM	70.35					
UT71029-11-FBM	84.95					
UT71046-1-FBM	17.23					
UT27440-1-FBM	5.49					
UT71015-1-FBM	9.72					
UT71038-1-FBM	12.56					
UT71038-1-V1-FBM	12.56					
