sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
WP10003155-2-FBM	39.1					
WP10003155-2-V1-FBM	39.1					
WP10003155-2-V2-FBM	39.1					
WP10003155-4-FBM	74.46					
WP10003155-5-FBM	91.98					
WP10003155-6-FBM	110.09					
WP10003182-1-FBM	10.84					
WP10003190-1-FBM	10.56					
WP10003190-2-FBM	16.58					
WP10003218-1-FBM	12.39					
WP10003327-1-FBM	16.77					
WP10003327-1-V2-FBM	16.77					
WP10003327-2-FBM	29					
WP10003327-2-V1-FBM	29					
WP10003327-3-FBM	41.69					
WP10003360-1-FBM	20.62					
WP10003439-12-FBM	51.38					
WP10003439-12-V1-FBM	51.38					
WP10003439-12-V2-FBM	51.38					
WP10003439-1-FBM	8.48					
WP10003439-1-V1-FBM	8.48					
WP10003439-1-V2-FBM	8.48					
WP10003439-1-V3-FBM	8.48					
WP10003439-24-FBM	94.78					
WP10003439-2-FBM	15.89					
WP10003439-4-FBM	23.78					
WP10003439-6-FBM	30.35					
WP10003439-7-FBM	33.64					
WP10003439-8-FBM	36.92					
WP10003439-9-FBM	41.53					
WP10003463-1-FBM	12.02					
WP10003463-2-FBM	16.05					
WP10003463-3-FBM	18.75					
WP10003463-6-FBM	28.17					
WP10003463-8-FBM	37.56					
WP10003484-1-FBM	12.35					
WP10003484-1-V1-FBM	12.35					
WP10003484-2-FBM	16.71					
WP10003484-3-FBM	19.74					
WP10003484-4-FBM	24.1					
WP10003484-5-FBM	27.14					
WP10003484-6-FBM	30.17					
WP10003534-1-FBM	6.87					
WP10003534-1-V1-FBM	6.87					
WP10003534-3-FBM	13.73					
WP10003562-1-FBM	47.57					
WP10003562-2-FBM	93.79					
WP10003562-3-FBM	136.03					
WP10003562-4-FBM	178.26					
WP10003658-1-FBM	13.4					
WP10003658-2-FBM	18.81					
WP10003658-2-V1-FBM	18.81					
WP10003658-3-FBM	22.89					
WP10003658-3-V1-FBM	22.89					
WP10003658-4-FBM	26.98					
WP10003658-5-FBM	32.39					
WP10003658-6-FBM	36.47					
WP10003658-7-FBM	40.55					
WP10003658-8-FBM	44.63					
WP10003663-1-FBM	13.61					
WP10003663-1-V1-FBM	13.61					
WP10003663-1-V2-FBM	13.61					
WP10003663-2-FBM	19.24					
WP10003663-2-V1-FBM	19.24					
WP10003663-3-FBM	23.53					
WP10003663-4-FBM	27.83					
WP10003663-6-FBM	37.74					
WP10003692-10-FBM	78.18					
WP10003692-11-FBM	86.4					
WP10003692-1-FBM	11.42					
WP10003692-1-V1-FBM	11.42					
WP10003692-3-FBM	26.23					
WP10003692-4-FBM	33.94					
WP10003692-5-FBM	43.75					
WP10003692-7-FBM	57.53					
WP10003692-8-FBM	64.41					
WP10003692-9-FBM	71.3					
WP10003722-1-FBM	15.14					
WP10003722-1-V1-FBM	15.14					
WP10003722-1-V2-FBM	15.14					
WP10003722-1-V3-FBM	15.14					
WP10003722-2-FBM	25.75					
WP10003722-8-FBM	94.19					
WP10003727-1-FBM	9.4					
WP10003727-1-V1-FBM	9.4					
WP10003727-1-V2-FBM	9.4					
WP10003727-1-V3-FBM	9.4					
WP10003727-5-FBM	32.19					
WP10003727-8-FBM	48.78					
WP10003744-1-FBM	21.25					
WP10003744-1-V1-FBM	21.25					
WP10003744-1-V2-FBM	21.25					
WP10003744-3-FBM	55.13					
WP10003750-1-FBM	22.18					
WP10003750-1-V1-FBM	22.18					
WP10003750-1-V2-FBM	22.18					
WP10003837-1-FBM	10.93					
WP10003837-1-V1-FBM	10.93					
WP10003837-1-V2-FBM	10.93					
WP10003837-2-FBM	18.12					
WP10003837-4-FBM	34.9					
WP10003837-6-FBM	47.69					
WP10003840-1-FBM	12.21					
WP10003840-1-V1-FBM	12.21					
WP10003840-1-V2-FBM	12.21					
WP10003840-3-FBM	29.41					
WP10003846-1-FBM	30.92					
WP10003846-6-FBM	157.82					
WP10003873-1-FBM	17.1					
WP10003873-2-FBM	32.85					
WP10003873-3-FBM	44.62					
WP10003963-1-FBM	24.74					
WP10004048-1-FBM	26.83					
WP10004088-1-FBM	7.14					
WP10004098-1-FBM	29.91					
WP10004098-1-V1-FBM	29.91					
WP10004098-4-FBM	94.35					
WP10004098-6-FBM	139.52					
WP10004099-1-FBM	24.4					
WP10004100-1-FBM	21.87					
WP10004137-1-FBM	14.63					
WP10004137-1-V1-FBM	14.63					
WP10004137-1-V2-FBM	14.63					
WP10004137-2-FBM	25.78					
WP10004137-3-FBM	35.34					
WP10004137-4-FBM	43.57					
WP10004137-5-FBM	51.8					
WP10004137-7-FBM	69.58					
WP10004137-9-FBM	86.04					
WP10004138-1-FBM	15.16					
WP10004138-2-FBM	28.97					
WP10004199-12-FBM	84.51					
WP10004199-1-FBM	10.69					
WP10004199-1-V2-FBM	10.69					
WP10004199-2-FBM	17.64					
WP10004199-3-FBM	24.86					
WP10004199-4-FBM	33.94					
WP10004199-5-FBM	40.1					
WP10004199-6-FBM	46.25					
WP10004199-9-FBM	66.05					
WP10004199-1-V1-FBM	10.69					
WP10004201-1-FBM	17.88					
WP10004202-11-FBM	98.84					
WP10004202-1-FBM	13.23					
WP10004202-1-V1-FBM	13.23					
WP10004202-2-FBM	25.11					
WP10004202-3-FBM	33.01					
WP10004202-5-FBM	50.13					
WP10004202-6-FBM	58.03					
WP10004215-1-FBM	19.9					
WP10004215-1-V1-FBM	19.9					
WP10004218-11-FBM	79.53					
WP10004218-12-FBM	85.79					
WP10004218-1-FBM	10.8					
WP10004218-1-V1-FBM	10.8					
WP10004218-2-FBM	17.86					
WP10004218-3-FBM	25.18					
WP10004218-3-V1-FBM	25.18					
WP10004218-3-V2-FBM	25.18					
WP10004218-4-FBM	34.37					
WP10004218-6-FBM	46.89					
WP10004220-1-FBM	13.2					
WP10004220-1-V1-FBM	13.2					
WP10004220-2-FBM	25.06					
WP10004220-3-FBM	32.93					
WP10004220-5-FBM	50					
WP10004220-6-FBM	57.87					
WP10004220-7-FBM	65.74					
WP10004408-1-FBM	13.08					
WP10004408-1-V1-FBM	13.08					
WP10004408-6-FBM	60.61					
WP10004412-1-FBM	10.62					
WP10004437-10-FBM	63.43					
WP10004437-1-FBM	10.92					
WP10004437-1-V1-FBM	10.92					
WP10004437-1-V2-FBM	10.92					
WP10004437-2-FBM	19.61					
WP10004437-3-FBM	26.08					
WP10004437-4-FBM	31.23					
WP10004456-1-FBM	10.72					
WP10004456-1-V1-FBM	10.72					
WP10004456-1-V2-FBM	10.72					
WP10004456-1-V3-FBM	10.72					
WP10004456-3-FBM	24.76					
WP10004456-8-FBM	51.81					
WP10004456-1-V4-FBM	10.72					
WP10004526-12-FBM	122.16					
WP10004526-1-FBM	13.83					
WP10004526-1-V1-FBM	13.83					
WP10004526-2-FBM	23.59					
WP10004526-2-V1-FBM	23.59					
WP10004526-3-FBM	33.45					
WP10004526-4-FBM	43.57					
WP10004526-5-FBM	55.78					
WP10004526-6-FBM	65.08					
WP10004526-6-V1-FBM	65.08					
WP10004526-8-FBM	83.66					
WP10004526-9-FBM	92.95					
WP10004531-12-FBM	63.56					
WP10004531-18-FBM	92.01					
WP10004531-1-FBM	8.51					
WP10004531-1-V1-FBM	8.51					
WP10004531-1-V2-FBM	8.51					
WP10004531-24-FBM	119.13					
WP10004531-3-FBM	18.56					
WP10004531-3-V1-FBM	18.56					
WP10004531-5-FBM	28.17					
WP10004531-6-FBM	33.52					
WP10004569-1-FBM	14.03					
WP10004569-1-V1-FBM	14.03					
WP10004569-2-FBM	26.71					
WP10004590-1-FBM	38.13					
WP10004590-6-FBM	184.83					
WP10004592-1-FBM	28.25					
WP10004592-1-V1-FBM	28.25					
WP10004603-1-FBM	8.51					
WP10004603-1-V1-FBM	8.51					
WP10004603-2-FBM	13.58					
WP10004603-3-FBM	18.56					
WP10004603-4-FBM	23.41					
WP10004603-5-FBM	28.17					
WP10004603-6-FBM	33.52					
WP10004627-1-FBM	6.97					
WP10004639-1-FBM	7.64					
WP10004650-12-FBM	42.4					
WP10004650-1-FBM	7.05					
WP10004650-1-V1-FBM	7.05					
WP10004650-1-V2-FBM	7.05					
WP10004650-1-V3-FBM	7.05					
WP10004650-1-V4-FBM	7.05					
WP10004650-2-FBM	10.62					
WP10004650-4-FBM	19.9					
